Organisation name,Type of organisation,Organisational body,Position,Title,First name,Last name(s),Gender
Abha,Organizzazione sportiva,Consiglio di amministrazione,Chairman,Dr,Ahmed,Al-Hadithi,Male
Al-Ahli,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Walid,Moaz,Male
Al-Akhdoud,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Sami,Haddish Al-Fadel,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Khaled,Abdullah Al-Dabal,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Deputy chairman,,Hatem,Hassan Al-Mashal,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Iyad,bin Abdullah Al-Baqshi,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Omar,bin Abdullah Bakhshwin,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Waleed,bin Amer Al-Rumaih,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Ibrahim,bin Jassim Al-Salem,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Moaz,Majed Al-Ohali,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Abdul,Rahman Abdul Latif Al-Moaibed,Male
Al-Ettifaq,Organizzazione sportiva,Consiglio di amministrazione,Member,,Muhammad,Saad Al-Qahtani,Male
Al-Feiha,Organizzazione sportiva,Consiglio di amministrazione,Chairman,Dr,Tawfiq,bin Saleh Al-Mudahim,Male
Al-Hazm,Organizzazione sportiva,Consiglio di amministrazione,President,,Salman,bin Fahd bin Hamad Al-Malik,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Fahad,bin Saad bin Nafel,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,Dr,Fahad,bin Ahmed Abuhaimad,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Abdulmajid,bin Ahmed Al-Haqbani,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Fahad,bin Ali Al-Haqbani,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Abdullah,bin Fahad Al-Abduljabbar,Male
Al-Hilal,Organizzazione sportiva,Consiglio di amministrazione,Member,,Sulaiman,bin Nasser Al-Hatlan,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Chairman,HE,Abdulmalik,bin Abdullah Al-Hogail,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Deputy chairman,HE Professor,Saad,bin Abdulaziz Al-Kroud,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Muhammad,bin Abdul Rahman bin Dayel,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Abdullah,bin Abdulaziz Al-Rumaizan,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Ahmed,bin Abdullah Al-Sheikh,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Anis,bin Ahmed Moumna,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Dr.,Saud,bin Mohammed Al-Nimr,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Abdulrahman,bin Muhammad Addas,Male
Alinma Bank,Azienda,Consiglio di amministrazione,Member,HE Professor,Haitham,bin Rashid Al Sheikh Mubarak,Male
Al-Ittihad,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Anmar,bin Abdullah Al-Haili,Male
Al-Ittihad,Organizzazione sportiva,Consiglio di amministrazione,Chief executive officer,,Abdel,Wahhab bin Ahmed Abed,Male
Al-Ittihad,Organizzazione sportiva,Consiglio di amministrazione,Deputy chairman,,Ahmed,bin Essam Kaaki,Male
Al-Ittihad,Organizzazione sportiva,Consiglio di amministrazione,Member,,Mamdouh,bin Ayed Al-Harbi,Male
Al-Ittihad,Organizzazione sportiva,Consiglio di amministrazione,Member,,Faisal,bin Saleh Al-Turki,Male
Al-Nassr,Organizzazione sportiva,Consiglio di amministrazione,,,,,
Al-Raed,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Fahd,bin Mohammed Al-Mutawa,Male
Al-Shabab,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Khaled,Al-Baltan,Male
Al-Wehda,Organizzazione sportiva,Consiglio di amministrazione,President,HH,Theyab,bin Zyed Al-Nahyan,Male
Al-Wehda,Organizzazione sportiva,Consiglio di amministrazione,Vice president,Sheikh,Zayed,bin Saeed Al-Nahyan,Male
AMAALA,Azienda,Comitato consultivo,Chief executive officer,,Nicholas,Naples,Male
AMAALA,Azienda,Comitato consultivo,Member,,Solenne,Blanc,Female
AMAALA,Azienda,Comitato consultivo,Member,,Simon,Brooks-Ward,Male
AMAALA,Azienda,Comitato consultivo,Member,,Antoine,Corinthios,Male
AMAALA,Azienda,Comitato consultivo,Member,,Susan,Harmsworth,Female
AMAALA,Azienda,Comitato consultivo,Member,,Neil,Jacobs,Male
AMAALA,Azienda,Comitato consultivo,Member,,Emma,Johnston,Female
AMAALA,Azienda,Comitato consultivo,Member,,Thomas,Krens,Male
AMAALA,Azienda,Comitato consultivo,Member,,Evan,Kwee,Male
AMAALA,Azienda,Comitato consultivo,Member,,Edward,Mady,Male
AMAALA,Azienda,Comitato consultivo,Member,,Claude,Maniscalco,Male
AMAALA,Azienda,Comitato consultivo,Member,,Ignacio,Nacho Figueras,Male
AMAALA,Azienda,Comitato consultivo,Member,,Georg,R. Rafael,Male
AMAALA,Azienda,Comitato consultivo,Member,,Barry,S. Sternlicht,Male
AMAALA,Azienda,Comitato consultivo,Member,,Horst,Schultze,Male
AMAALA,Azienda,Comitato consultivo,Member,,Ingo,Schweder,Male
Arab Cycling Federation,Organizzazione sportiva,Consiglio di amministrazione,Vice chairman,,Abdullah,Al-Wathlan,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,"First Vice President of the Federation, Executive Board Member
",,Mostafa,Zein,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Member,,Timur,Abulkhair,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Member,,Tarek,Al-Husseini,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Member,,Ferihaneh,Elbouchamaoui,Female
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Member,,Hatem,Raza Guiga,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Member,,Munther,Salem Al-Barwani,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Member,,Karim,Salim Saleem,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,President of the Federation,HE,Yasir,Al-Rumayyan,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Second Vice President of the Federation,,"Abdul
",Aziz Ibrahim Al-Mulla,Male
Arab Golf Federation,Organizzazione sportiva,Comitato esecutivo,Secretary General,,Majed,Al-Sorour,Male
Aramco,Azienda,Consiglio di amministrazione,Chairman,HE,Yasir,Al-Rumayyan,Male
Aramco,Azienda,Consiglio di amministrazione,Deputy chairman,HE Dr,Ibrahim,bin Abdulaziz bin Abdullah Al-Assaf,Male
Aramco,Azienda,Consiglio di amministrazione,Member,HE,Mohammed,Abdullah Al-Jadaan,Male
Aramco,Azienda,Consiglio di amministrazione,Member,HE,Mohammad,Al-Tuwaijri,Male
Aramco,Azienda,Consiglio di amministrazione,Member,,Khalid,H. Al-Dabbagh,Male
Aramco,Azienda,Consiglio di amministrazione,Member,,Amin,H. Nasser,Male
Aramco,Azienda,Consiglio di amministrazione,Member,,Peter,L. Cella,Male
Aramco,Azienda,Consiglio di amministrazione,Member,,Lynn,Laverty Elsenhans,Female
Aramco,Azienda,Consiglio di amministrazione,Member,,Andrew,N. Liveris,Male
Aramco,Azienda,Consiglio di amministrazione,Member,,Stuart,T. Gulliver,Male
Aramco,Azienda,Consiglio di amministrazione,Member,,Mark,Weinberger,Male
Aramco,Azienda,Direzione esecutiva,Downstream president,,Mohammed,Y. Al-Qahtani,Male
Aramco,Azienda,Direzione esecutiva,Executive Vice President & Chief Financial Officer,,Ziad,T. Al-Murshed,Male
Aramco,Azienda,Direzione esecutiva,Executive Vice President Human Resources & Corporate Services,,Nabeel,bin Abdullah Al-Jama,Male
Aramco,Azienda,Direzione esecutiva,Executive Vice President Strategy & Corporate Development,,Ashraf,Al-Ghazzawi,Male
Aramco,Azienda,Direzione esecutiva,Executive Vice President Technical Services,,Ahmad,Al-Sa’adi,Male
Aramco,Azienda,Direzione esecutiva,Executive Vice President Technology & Innovation,,Ahmad,O. Al-Khowaiter,Male
Aramco,Azienda,Direzione esecutiva,"Executive Vice President, General Counsel & Corporate Secretary",,Nabeel,Al-Mansour,Male
Aramco,Azienda,Direzione esecutiva,President & CEO,,Amin,H. Nasser,Male
Aramco,Azienda,Direzione esecutiva,Upstream President,,Nasir,K. Al-Naimi,Male
Asdeqa,Azienda,Consiglio di amministrazione,Chairman,,Majed,Ahmed Abdullah,Male
Asdeqa,Azienda,Consiglio di amministrazione,Financial Supervisor,,Yazid,Khaled Al-Rashid,Male
Asdeqa,Azienda,Consiglio di amministrazione,Member,,Hossam,Abdel Rahman Al-Saleh,Male
Asdeqa,Azienda,Consiglio di amministrazione,Member,,Fahd,Abdulaziz Al-Ajlan,Male
Asdeqa,Azienda,Consiglio di amministrazione,Member,,Ahmed,Abdulaziz Al-Muqairen,Male
Asdeqa,Azienda,Consiglio di amministrazione,Member,,Majed,Abdulrahman Al-Muhanna,Male
Asdeqa,Azienda,Consiglio di amministrazione,Member,,Abdullah,Abdulrahman Saeed,Male
Asdeqa,Azienda,Consiglio di amministrazione,Member,,Fahid,Jairi Al-Dosari,Male
Asdeqa,Azienda,Consiglio di amministrazione,Vice chairman,,Fahd,Mohammed Al-Mutawa,Male
Asian Boxing Confederation,Organizzazione sportiva,Consiglio di amministrazione,Member,,Rasha,Alkhamis,Female
Asian Chess Federation,Organizzazione sportiva,Consiglio di amministrazione,Chief executive marketing officer,,Abdullah ,Bin Salem Al-Wahshi,Male
Asian Equestrian Federation,Organizzazione sportiva,Consiglio di amministrazione,Tent Pegging Committee,,Mohammad,Salim Al-Malki,Male
Asian Fencing Federation,Organizzazione sportiva,Consiglio esecutivo,Vice president,,Ahmed,bin Mohammed Al-Sabban,Male
Asian Paralympic Committee,Organizzazione sportiva,Consiglio di amministrazione,Member at Large,,Abdul,Rahim bin Abdul Rahman Al-Sheikh,Male
Asian Shooting Confederation,Organizzazione sportiva,Comitato esecutivo,Vice president,HRH Prince,Khalid,bin Bandar bin Musaed Al-Saud,Male
Asian Tennis Federation,Organizzazione sportiva,Consiglio di amministrazione,Member,,Arij,Al-Mutabagani,Female
Asian Triathlon Federation,Organizzazione sportiva,Consiglio di amministrazione,President,HRH Prince,Fahad,bin Jalawi Bin Abdulaziz Al-Saud,Male
Asian Weightlifting Federation,Organizzazione sportiva,Consiglio di amministrazione,General Secretary,,Mohammed,Ahmed Al-Harbi,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,HE,Yasir,Al-Rumayyan,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,HE Eng,Khalid,bin Abdulaziz Al-Falih,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,HE,Yousef,bin Abdullah Al-Benyan,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,HE Dr,Fahad,bin Abdullah Toonsi,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,HE,Bandar,bin Ibrahim Al-Khorayef,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,HRH Prince,Abdulaziz,bin Salman bin Abdulaziz Al-Saud,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,HRH Prince,Abdulaziz,bin Turki bin Faisal Al-Saud,Male
Ceer National Automotive Co.,Azienda,Consiglio di amministrazione,Member,Mr.,Young,Liu,Male
Cruise Saudi,Azienda,Consiglio di amministrazione,Chairman,HH Prince,Badr,bin Abdullah bin Mohammed bin Farhan Al-Saud,Male
Cruise Saudi,Azienda,Consiglio di amministrazione,Member,,Yazeed,Abdulrahman Al-Humied,Male
Cruise Saudi,Azienda,Consiglio di amministrazione,Member,,Fawaz,Farooqui,Male
Cruise Saudi,Azienda,Consiglio di amministrazione,Member,,Fahd,Hamidaddin,Male
Cruise Saudi,Azienda,Consiglio di amministrazione,Member,,Karl,Holz,Male
Cruise Saudi,Azienda,Consiglio di amministrazione,Member,,Raid,Ismail,Male
Cruise Saudi,Azienda,Consiglio di amministrazione,Vice chairman,HE,Saleh,bin Nasser Al-Jasser,Male
Cruise Saudi,Azienda,Direzione esecutiva,Chief asset development & Port operations ofﬁcer,,Miguel,Reyna,Male
Cruise Saudi,Azienda,Direzione esecutiva,Chief executive officer,,Lars,Manuel Clasen,Male
Cruise Saudi,Azienda,Direzione esecutiva,Chief internal auditor,,Mazen,Alsharfan,Male
Cruise Saudi,Azienda,Direzione esecutiva,Chief legal and Government affairs officer,,Hani,Gharbawi,Male
Cruise Saudi,Azienda,Direzione esecutiva,Chief strategy ofﬁcer,,Ghassan,Khan,Male
Cruise Saudi,Azienda,Direzione esecutiva,Managing Director,,Fawaz,Farooqui,Male
Damak,Organizzazione sportiva,Consiglio di amministrazione,Chairman,,Saleh,bin Abdul Wahhab Abu Naqa,Male
Decision Support Center,Altro,Consiglio di amministrazione,Chairman,HE,Yasir,Al-Rumayyan,Male
Diriyah Gate Development Authority,Altro,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Diriyah Gate Development Authority,Altro,Consiglio di amministrazione,Member,HE Dr.,Fahd,bin Abdullah Al-Samari,Male
Diriyah Gate Development Authority,Altro,Consiglio di amministrazione,Member,HH Prince,Badr,bin Abdullah bin Mohammed bin Farhan Al-Saud,Male
Diriyah Gate Development Authority,Altro,Consiglio di amministrazione,Member,HE,Fahd,bin Abdulmohsen Al-Rasheed,Male
Diriyah Gate Development Authority,Altro,Consiglio di amministrazione,Member,HE Eng,Ibrahim,bin Mohammed Al-Sultan,Male
Diriyah Gate Development Authority,Altro,Consiglio di amministrazione,Member,HH Prince,Abdulaziz,bin Mohammed bin Ayyaf Al-Migrin,Male
Diriyah Gate Development Authority,Altro,Consiglio di amministrazione,"Secretary general, board member",HE,Ahmed,Al-Khateeb,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Advisor to the Chief executive officer,,Abdullah,Alghanim,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief assset management officer,,Jean,Lahoud Rodriguez,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief audit officer,,Osama,Alkalthami,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief financial officer,,Ahmed,Alamr,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief human resource officer,,Abdullah,Al-Othman,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief marketing officer,,Kiran,Haslam,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief of Heritage & Culture,,Adam,Wilkinson,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief of staff,,Bader,Binmaferij,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief of strategic management,,Telal,Kensara,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Chief of Urban Planning & Minicipal Affairs,Eng,Ahmad,Alsharif,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Group Chief Executive Officer,,Jerry,Inzerillo,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,Group Chief Operating Officer,,Faisal,Faruqi,Male
Diriyah Gate Development Authority,Altro,Direzione esecutiva,President,,Mohamed,Saad,Male
Embassy of Saudi Arabia in Kuwait,Ambasciata,Ambasciata,Ambassador,HRH Prince,Sultan,bin Saad bin Khaled Al-Saud,Male
"Embassy of Saudi Arabia in Lisbon, Portugal",Ambasciata,Ambasciata,Ambassador,HRH Prince,Saud,bin Abdulmohsen Bin Abdulaziz Al-Saud,Male
"Embassy of Saudi Arabia in London, United Kingdom",Ambasciata,Ambasciata,Ambassador,HRH Prince,Khalid,bin Bandar bin Sultan bin Abdulaziz Al-Saud,Male
"Embassy of Saudi Arabia in Manama, Bahrain",Ambasciata,Ambasciata,Ambassador,HRH Prince,Sultan,bin Ahmad Bin Abdulaziz Al-Saud,Male
"Embassy of Saudi Arabia in Rome, Italy",Ambasciata,Ambasciata,Ambassador,HRH Prince,Faisal,bin Sattam Bin Abdulaziz Al-Saud,Male
"Embassy of Saudi Arabia in Washington, D.C., United States",Ambasciata,Ambasciata,Ambassador,HRH Princess,Reema,bint Bandar Al-Saud,Female
Enowa.Neom,Azienda,Consiglio di amministrazione,Chairman,HE Eng,Abdulrahman,bin Abdulmohsen Al-Fadhly,Male
Enowa.Neom,Azienda,Consiglio di amministrazione,Member,,Nadhmi,Al-Nasr,Male
Enowa.Neom,Azienda,Consiglio di amministrazione,Member,,Mohammed,Al-Sudais,Male
Enowa.Neom,Azienda,Consiglio di amministrazione,Member,,Ahmed,bin Abdullah Al-Zahrani,Male
Enowa.Neom,Azienda,Consiglio di amministrazione,Member,,Ahmed,O. Al-Khowaiter,Male
Enowa.Neom,Azienda,Consiglio di amministrazione,Member,,Peter,Terium,Male
Enowa.Neom,Azienda,Consiglio di amministrazione,Member,,Dirk,van Schependom,Male
Enowa.Neom,Azienda,Direzione esecutiva,Chief executive officer,,Peter,Terium,Male
Enowa.Neom,Azienda,Direzione esecutiva,"Director of finance - Energy, Water and Food",,Guillaume,Baudet,Male
Enowa.Neom,Azienda,Direzione esecutiva,"Executire director of Customer and digital, Energy",,Frank,Brichau,Male
Enowa.Neom,Azienda,Direzione esecutiva,Executive director of Corporate development,,Andreas,Stoerzel,Male
Enowa.Neom,Azienda,Direzione esecutiva,Executive director of Energy,,Jens,Madrian,Male
Enowa.Neom,Azienda,Direzione esecutiva,Executive director of Hydrogen and Green fuels,,Roland,Kaeppner,Male
Enowa.Neom,Azienda,Direzione esecutiva,"Executive director of Power system Engineering, Energy",,Thorsten,Schwarz,Male
Enowa.Neom,Azienda,Direzione esecutiva,Executive director of Water,,Gavin,von Tonder,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Chairman,HRH Prince,Bandar,bin Khalid Al-Saud,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Deputy Chairman,HRH Prince,Abdulaziz,bin Turki bin Faisal Al-Saud,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HE,Khaled,bin Abdulaziz Al-Araj,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HE,Abdulrahman,bin Abdullah Al-Suhaibani,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HE Eng,Abdulrahman,bin Abdulmohsen Al-Fadhly,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HE,Mohammed,bin Ali Al-Omair,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HH Prince,Abdullah,bin Fahd bin Abdullah Al-Saud,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HRH Prince,Abdullah,bin Khalid bin Sultan bin Abdulaziz Al-Saud,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HE,Abdulaziz,bin Saud Al-Muqbel,Male
Equestrian Authority,Organizzazione sportiva,Consiglio di amministrazione,Member,HE Eng.,Amr,Farid Zaidan,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,Dr,Rakan,Al-Harthy,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Ahmed,Al-Khateeb,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Hindi,Al-Suhaimi,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HH Prince,Faisal,bin Abdulaziz bin Ayyaf,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HH Prince,Badr,bin Abdullah bin Mohammed bin Farhan Al-Saud,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HRH Prince,Abdullah,bin Bandar bin Abdulaziz Al-Saud,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HE Eng,Ibrahim,bin Mohammed Al-Sultan,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HRH Prince,Abdulaziz,bin Turki bin Faisal Al-Saud,Male
Events Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Abdulaziz,Tarabzouni,Male
FIFA,Organizzazione sportiva,Consiglio FIFA,Member,,Yasser,bin Hassan Al-Misehal,Male
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,HE,Mohamed,Al-Abbar,Male
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,Professor,Adah,Almutairi,Female
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,HE,Yasir,Al-Rumayyan,Male
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,,Richard,Attias,Male
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,HRH Princess,Reema,bint Bandar Al-Saud,Female
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,Professor,Tony,Chan,Male
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,Dr,Peter,H. Diamandis​,Male
Future Investment Initiative Institute,Altro,Consiglio di amministrazione,Member,Senator ,Matteo​,Renzi,Male
General Entertainment Authority,Altro,Consiglio di amministrazione,Chairman,HE Mr,Turki,bin Abdulmohsen Al-Sheikh,Male
General Secretariat of the Cabinet of Ministers,Ministero,Comitato consultivo,Advisor,HE,Yasir,Al-Rumayyan,Male
Golf Saudi,Organizzazione sportiva,Consiglio di amministrazione,Chairman,HE,Yasir,Al-Rumayyan,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Chief financial officer,,Walead,Alrebdi,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Chief legal officer,,Waleed,Muath,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Commercial advisory director,,Keith,Haslam,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Development Senior Director,,Hesham,Turki,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Golf Management Services Director,,Karl,Whitehead,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Golf Saudi CEO,,Noah,Alireza,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,HR Director,,Dania,Al-Obaid,Female
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,IT Director,,Bander,Al-Thubaity,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Mass Participation Director,,Bouchaib,El Jadiani,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,"Risk & Compliance, Senior Director",,Abdulaziz,bin Othaimeen,Male
Golf Saudi,Organizzazione sportiva,Direzione esecutiva,Senior Procurement Director,,Jamil,Pasha,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Chairman,Eng,Abdulla,bin Mohammed Al-Zamil,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Group Chief Executive Officer,,Abdulaziz,bin Abdulrahman Al-Helaissi,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Member,,Khalid,Abdulla Alsweilem,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Member,,Nezar,Al-Saie,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Member,,Fahad,bin Abdul-Jalil Al-Saif,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Member,,Sultan,bin Abdulmalek Al-Sheikh,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Member,,Bander,bin Abdulrahman bin Mogren,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Member,,Rajeev,Kakar,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Member,,Frank Schwab,Schwab,Male
Gulf International Bank (GiB),Altro,Consiglio di amministrazione,Vice chairman,Dr,Najem,bin Abdulla Al-Zaid,Male
International Equestrian Federation,Organizzazione sportiva,Consiglio di amministrazione,Member,,Sami,Alduhami,Male
International Esports Federation,Organizzazione sportiva,Consiglio di amministrazione,President,HRH Prince,Faisal,bin Bandar bin Sultan Al-Saud,Male
International Olympic Commitee,Organizzazione sportiva,Membri onorari,Member,HRH Prince,Nawaf,Bin Faisal Bin Fahad Bin Abdulaziz Al-Saud,Male
International Olympic Commitee,Organizzazione sportiva,Comitato Olimpico Internazionale,Member,HRH Princess,Reema,bint Bandar Al-Saud,Female
International Triathlon Union,Organizzazione sportiva,Consiglio di amministrazione,Asian continental president,HRH Prince,Fahad,bin Jalawi Bin Abdulaziz Al-Saud,Male
International Weightlifting Federation,Organizzazione sportiva,Consiglio di amministrazione,Member,,Mohammed,Ahmed Al-Harbi,Male
Islamic Solidarity Sports Federation,Organizzazione sportiva,Consiglio di amministrazione,President,HRH Prince,Faisal,bin Bandar bin Sultan Al-Saud,Male
Jahez Group,Azienda,Consiglio di amministrazione,Chairman,HRH Prince,Mishaal,bin Sultan bin Abdulaziz Al-Saud,Male
Jahez Group,Azienda,Consiglio di amministrazione,Chief executive officer,,Ghassab,Salman Al-Mandeel,Male
Jahez Group,Azienda,Consiglio di amministrazione,Member,,Hamad,Abdullah Fahad Al-Bakr,Male
Jahez Group,Azienda,Consiglio di amministrazione,Member,,Loulwa,Al-Bakr,Female
Jahez Group,Azienda,Consiglio di amministrazione,Member,,Abdullah,Al-Romaih,Male
Jahez Group,Azienda,Consiglio di amministrazione,Vice chairman,,Abdulaziz,Abdulrahman Mohammed Al-Omran,Male
Jahez Group,Azienda,Direzione esecutiva,Chief commercial officer,,Hamad,Abdullah Fahad Al-Bakr,Male
Jahez Group,Azienda,Direzione esecutiva,Chief executive officer,,Ghassab,Salman Al-Mandeel,Male
Jahez Group,Azienda,Direzione esecutiva,Chief financial officer,,Heni,Jallouli,Male
Jahez Group,Azienda,Direzione esecutiva,Chief investment officer,,Abdulaziz,Saud Al-Houti,Male
Jahez Group,Azienda,Direzione esecutiva,Chief operating officer,,Abdulaziz,Al-Faris,Male
Jahez Group,Azienda,Direzione esecutiva,Chief technology officer,,Mohammed,Al-Barrak,Male
Jahez Group,Azienda,Direzione esecutiva,Deputy chief executive officer,,Mishal,Ibrahim Al-Mishari,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,,Abdullah,Abdullatif Al-Fozan,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,HE,Saleh,Ali Al-Turki,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Qasabi,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,HE Eng,Ibrahim,bin Mohammed Al-Sultan,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,Eng,Abdullah,Faisal Al-Braikan,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,Eng,Haitham,Fekry Abd Rabo,Male
